consensus_rank,Player,Season,Team,Role,proba_1_Logistic,proba_1_XGB,proba_1_MLP,rank_proba_1_Logistic,rank_proba_1_XGB,rank_proba_1_MLP,consensus_score
56,Martin Terrier,2017-2018,Strasbourg,LW,0.7153738595535691,0.23256043,0.6576730672830214,58.0,70.0,62.0,63.333333333333336
57,Ismaila Sarr,2018-2019,Rennes,RW,0.6661842010995982,0.83205533,0.6234376169406041,67.0,45.0,78.0,63.333333333333336
58,Myziane Maolida,2019-2020,Nice,LW,0.7028919786072243,0.08278786,0.705608154944242,60.0,96.0,39.0,65.0
59,Lucas Paquetá,2020-2021,Lyon,AM,0.6847826510890724,0.9200724,0.5620191601079756,63.0,19.0,115.0,65.66666666666667
60,Lucas Paquetá,2021-2022,Lyon,AM,0.957046002521505,0.88306415,0.5164360306198286,24.0,31.0,142.0,65.66666666666667
61,Yassine Benzia,2017-2018,Lille,AM,0.9755661061421474,0.13231498,0.5655808057816942,17.0,80.0,103.0,66.66666666666667
62,Adrien Thomasson,2021-2022,Strasbourg,AM,0.8042571652436681,0.20601946,0.6168423965756182,45.0,73.0,84.0,67.33333333333333
63,Aleksandr Golovin,2019-2020,Monaco,AM,0.5368342786425795,0.82918966,0.6306252242597773,82.0,46.0,75.0,67.66666666666667
64,Maxwel Cornet,2019-2020,Lyon,LW,0.8418735208873177,0.86853176,0.5443693319786562,40.0,36.0,127.0,67.66666666666667
65,Jonathan Ikone,2021-2022,Lille,RW,0.6625335014780087,0.84605294,0.5857126536292875,68.0,42.0,96.0,68.66666666666667
